study_id	journal	doi	year	variable_measured	role_in_study	multi_item	scale_details	anchors	categories	analysis	dimension
WE 35-3_2	World Englishes	https://doi.org/10.1111/weng.12209	2016	Comprehensibility rating	outcome	0	(1) incomprehensible, (2), (3) neutral, (4), (5) incomprehensible	endpoints and midpoint	5	means	NA
WE 35-3_3	World Englishes	https://doi.org/10.1111/weng.12184	2016	Language attitudes	outcome	0	Likert-type	each category	4	description_categorical	agreement
WE 36-4_13	World Englishes	https://doi.org/10.1111/weng.12246	2017	Acceptability rating	outcome	0	(1) clearly acceptable; (2) probably acceptable; (3) probably unacceptable; (4) clearly unacceptable	each category	4	means	intensity
WE 36-4_6	World Englishes	https://doi.org/10.1111/weng.12284	2017	Frequency of language use	outcome	0	(1) Never, (2) Seldom (once/twice a year), (3) Not very often (once/twice every 4 months), (4) Sometimes (once/twice a month), (5) Often (once/twice a week), (6) Always (almost every day)	each category	6	means	frequency
WE 36-4_6	World Englishes	https://doi.org/10.1111/weng.12284	2017	Importance of languages in the professional workspace	outcome	0	(1) Completely unimportant,  (2) Unimportant, (3) Of some importance, (4) Important, (5) Very important, (6) Extremely important	each category	6	means	intensity
WE 36-4_7	World Englishes	https://doi.org/10.1111/weng.12238	2017	Frequency of language use	outcome	0	(1) always English, (6) always Cantonese	endpoints	6	means	NA
WE 37-2_2	World Englishes	https://doi.org/10.1111/weng.12311	2018	Ethnic identity	outcome	0	Likert-type	each category	5	means	agreement
WE 37-2_8	World Englishes	https://doi.org/10.1111/weng.12292	2018	Self-assessed proficiency	outcome	0	(1) poor, (2) not good, (3) fair, (4) good, (5) very good	each category	5	means	quality
WE 37-4_1	World Englishes	https://doi.org/10.1111/weng.12344	2018	Accentedness, comprehensibility	outcome	0	(1) very strong accent/very difficult to understand, (9) mild or no accent/very easy to understand	endpoints	9	means	NA
WE 37-4_8	World Englishes	https://doi.org/10.1111/weng.12348	2018	Language attitudes	outcome	0	Likert-type	each category	4	means	agreement
WE 38-3_4	World Englishes	https://doi.org/10.1111/weng.12430	2019	Advertisement ratings	outcome	0	Likert-type	each category	7	means	agreement
WE 38-4_3	World Englishes	https://doi.org/10.1111/weng.12359	2019	Language attitudes	outcome	0	Likert-type	each category	6	means	agreement
WE 40-2_2	World Englishes	https://doi.org/10.1111/weng.12506	2021	Frequency of language use	outcome	0	(1) never, (2) sometimes, (3) often, (4) always	each category	4	description_categorical	frequency
WE 40-2_3	World Englishes	https://doi.org/10.1111/weng.12507	2021	Self-assessed proficiency	outcome	0	(1) beginner, (2) elementary, (3) intermediate, (4)  upper intermediate, (5)  advanced, (6) mastery	each category	6	means	quality
WE 41-3_7	World Englishes	https://doi.org/10.1111/weng.12587	2022	Accent perception	outcome	0	Likert-type	each category	4	means	agreement
WE 41-3_7	World Englishes	https://doi.org/10.1111/weng.12587	2022	Acceptability rating	outcome	0	(1) fully acceptable, (2) somewhat acceptable, (3) somewhat unacceptable, (4) completely unacceptable	each category	4	means	intensity
